machine,date,file_log_size,eof_markers,load_o100_count,classification
M01,20260503,0,0,0,no_data
M02,20260503,0,0,0,no_data
M03,20260503,0,0,0,no_data
M04,20260503,0,0,0,no_data
M05,20260503,0,0,0,no_data
M06,20260503,0,0,0,no_data
M07,20260503,0,0,0,no_data
M08,20260503,0,0,0,no_data
M09,20260503,0,0,0,no_data
M10,20260503,0,0,0,no_data
M11,20260503,0,0,0,no_data
M12,20260503,0,0,0,no_data
M13,20260503,0,0,0,no_data
M14,20260503,0,0,0,no_data
M15,20260503,0,0,0,no_data
M16,20260503,0,0,0,no_data
M17,20260503,0,0,0,no_data
M18,20260503,0,0,0,no_data
